site,SURE_year,phase,patch,H2Ohio_ID,sample_ID,topography,phase3_feature,latitude,longitude,collection_date,M3_extraction_date,WE_extraction_date,M3_analysis_date,P_mg_kgsoil,Fe_mg_kgsoil,Al_mg_kgsoil,Ca_mg_kgsoil,SPSC,PSI_analysis_date,PSI_mgP_per_100gdrysoil_over_log_umol_L,soil_PSR,NO3NO2_analysis_date,orthoP_analysis_date,NO3NO2_mg_kgsoil,orthoP_mg_kgsoil,NH3_mg_kgsoil,pH_measure_date,pH,elec_cond_measure_date,elec_cond,LOI_OM_percent
TRUC,2023,3,N,S02618,8,HL,HL,41.66467,-80.991314,20230711,20230726,NA,20230727,2.950784656,233.1320425,1065.10869,NA,132.2449961,NA,NA,0.003537583,NA,NA,1.4518,0.160170297,0.670456436,NA,NA,NA,NA,NA
TRUC,2024,1,A,NA,1,Pool,NA,41.66414,-81.010872,20240708,20240718,20240711,20240830,19.07443012,1295.574658,698.1476446,3889.398383,132.8025738,20250414,100.5258679,0.01255913,20241212,20250404,0.086762527,0.102952664,NA,20240912,4.35,20241108,88.88,12.23394706
TRUC,2024,1,B,NA,1,Pool,NA,41.663546,-81.007653,20240708,20240718,20240711,20240830,11.81485448,1281.221173,643.7175636,3878.792816,133.0182019,20250414,94.64731775,0.008157568,20241212,20250404,0.582176423,0.282359625,NA,20240912,4.82,20241108,175.5,9.552999244
TRUC,2023,3,N,S02604,1,HL,HL,41.665665,-80.992141,20230711,20230725,NA,20230727,3.433680432,214.713005,1086.252791,NA,133.1701311,NA,NA,0.001869332,NA,NA,1.055705143,0.140122286,0.548568,NA,NA,NA,NA,NA
TRUC,2024,3,N,S02719,1,HL,HL,41.6653,-80.9919,20240709,20240723,20240712,20240918,3.914234037,233.2187543,1091.911869,5656.427036,134.3637489,20250414,62.94194581,0.002830699,20241212,20250404,0.294883415,0.09936289,NA,20240913,6.7,20241108,25.21,7.09758682
TRUC,2023,3,N,S02617,8,HM,HM,41.66467,-80.991314,20230711,20230726,NA,20230727,3.120954469,220.6834086,1104.255389,NA,135.8803265,NA,NA,0.004921115,NA,NA,1.784946337,0.19096099,0.577153663,NA,NA,NA,NA,NA
TRUC,2024,3,M,S02713,1,Pool,BP1,41.66482,-80.990747,20240709,20240723,20240712,20240918,2.011116471,782.0485816,834.6061826,4066.698733,137.1060129,20250414,76.38040758,0.001445628,20241212,20250404,0.082739562,0.484956766,NA,20240913,6.81,20241108,129.1,6.23054824
TRUC,2023,3,O,S02622,2,HL,HL,41.663512,-80.991643,20230711,20230726,NA,20230727,4.707174233,229.4414954,1127.189972,NA,137.4121593,NA,NA,0.019788587,NA,NA,1.8109274,0.0266125,0.4998892,NA,NA,NA,NA,NA
TRUC,2023,3,NA,S02650,3,Pool,HummockPool,41.66394167,-80.99190167,20230711,20230727,NA,20230728,7.199839454,791.6462536,892.5830238,NA,139.1051899,NA,NA,0.013835163,NA,NA,1.678822574,0.140554455,0.704378614,NA,NA,NA,NA,NA
TRUC,2024,3,N,S02718,3,HM,HM,41.665,-80.9921,20240709,20240723,20240712,20240918,2.839433931,101.7288265,1201.031365,6855.282257,140.6881771,20250414,58.04468325,0.001978319,20241212,20250404,0.418518678,0.29434058,NA,20240913,6.58,20241108,37.93,7.145425489
TRUC,2024,3,M,S02714,2,Pool,BP1,41.664797,-80.990612,20240709,20240723,20240712,20240918,1.436704914,814.327395,849.415277,4136.57587,141.1675908,20250414,77.05071505,0.001007477,20241212,20250404,0.181775493,0.353140935,NA,20240913,6.65,20241108,97.29,6.468611426
TRUC,2024,3,L,S02712,3,Pool,WCS,41.665808,-80.992642,20240709,20240723,20240712,20240918,3.021136555,593.410191,973.2220472,4171.566208,141.5686653,20250414,67.87843933,0.002089453,20241212,20250404,0.085178704,0.545714283,NA,20240913,6.92,20241108,75.7,4.543646057
TRUC,2023,3,N,S02615,7,HM,HM,41.664865,-80.992081,20230711,20230726,NA,20230727,3.946520958,218.1453824,1164.254329,NA,141.8030294,NA,NA,0.004416624,NA,NA,2.799079223,0.16014233,1.195849806,NA,NA,NA,NA,NA
TRUC,2024,3,L,S02711,2,Pool,WCS,41.666072,-80.991897,20240709,20240723,20240712,20240918,2.257803285,1069.064946,759.2713895,3777.444935,144.0981817,20250414,71.67747838,0.001542679,20241212,20250404,0.083090897,0.662341795,NA,20240913,6.84,20241108,56.76,5.510195953
TRUC,2023,3,L,S02642,3,Pool,WCS,41.66580833,-80.99264167,20230711,20230727,NA,20230728,2.045084776,635.0994155,966.866267,NA,144.1227757,NA,NA,0.008780172,NA,NA,1.843578039,0.02495098,1.629199216,NA,NA,NA,NA,NA
TRUC,2024,1,A,NA,3,Pool,NA,41.661342,-81.01051,20240708,20240718,20240711,20240830,6.065189423,1154.254129,759.4714898,3119.466014,145.0295997,20250414,75.21472897,0.004014162,20241212,20250404,0.084337249,0.100074822,NA,20240912,4.93,20241108,45.28,5.96339421
TRUC,2024,2,F,NA,3,Pool,NA,41.6633,-81.002117,20240708,20240718,20240711,20240830,2.163405004,1494.933951,597.2728525,4135.824784,149.1676393,20250414,92.33557232,0.001429584,20241212,20250404,0.180278612,0.101611581,NA,20240912,4.83,20241108,53.27,4.666917576
TRUC,2024,2,I,NA,1,Pool,NA,41.65874,-81.001929,20240708,20240718,20240711,20240830,4.540695875,1511.648304,614.4916135,4528.810058,149.692576,20250414,82.75367286,0.002944044,20241212,20250404,0.08837972,0.104871629,NA,20240912,4.66,20241108,98.87,5.362626979
TRUC,2023,3,N,S02610,4,HL,HL,41.66534,-80.991889,20230711,20230726,NA,20230727,2.459640934,338.0314317,1162.929514,NA,149.7743501,NA,NA,0.004021076,NA,NA,1.324925437,0.101392233,0.859123495,NA,NA,NA,NA,NA
TRUC,2024,3,L,S02710,1,Pool,WCS,41.666264,-80.991945,20240709,20240723,20240712,20240918,1.890783014,767.0422047,961.5804053,4614.765161,150.9741581,20250414,70.53297988,0.001236898,20241212,20250404,0.082997911,12.65936562,NA,20240913,7.46,20241108,51.14,4.600576323
TRUC,2024,1,D,NA,3,Woods,NA,41.660359,-81.008741,20240708,20240718,20240711,20240830,8.302388672,269.5684799,1262.223486,1974.776412,151.542108,20250414,62.51049745,0.005194041,20241212,20250404,0.493715276,0.745382466,NA,20240912,3.91,20241108,NA,10.87447306
